white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
Henry-Joe,mad_giraffe,1736,1788,0-1,Rat Defense: Small Center Defense,C00,https://lichess.org/Vb5tZi8A,600+0,Normal
Dier,bhopal66,1831,1621,1-0,Torre Attack #2,A46,https://lichess.org/mTCusFcI,300+0,Normal
HarpoMarx,Ham0931,1827,1647,1-0,"French Defense: Advance Variation, Paulsen Attack",C02,https://lichess.org/5SizP3oG,600+0,Time forfeit
badasswarrior1990,khanwer,1650,2050,0-1,French Defense: Advance Variation #2,C02,https://lichess.org/vVxD1iWj,600+0,Normal
eloelo320,levagabon_du92,1552,1457,0-1,Queen's Pawn Game #2,D00,https://lichess.org/1ChxIARc,300+0,Normal
konstantink,SimonTolomeo,1561,1643,0-1,Indian Game: West Indian Defense,E61,https://lichess.org/RCfp5JjP,240+4,Normal
Master_Chess_Konny,micuenta,1587,1347,1-0,English Opening: Agincourt Defense #3,A13,https://lichess.org/Lxv45fxv,10800+0,Normal
Fi-scher,Little_Claus,1550,1585,1-0,Ruy Lopez: Berlin Defense #2,C65,https://lichess.org/mauajup0,780+0,Normal
Permutater,MarkoKrunic,1684,1779,1-0,Van't Kruijs Opening,A00,https://lichess.org/kPIiGzsi,540+20,Normal
dnl,exxsa,1591,1529,1-0,"King's Gambit Declined, Queen's Knight Defense",C30,https://lichess.org/Tm6Xq2K3,180+3,Time forfeit
debelibokac,agusbon3212,1600,1626,1-0,"King's Gambit Declined, Queen's Knight Defense",C30,https://lichess.org/S3NsGe4y,300+10,Normal
GuirecTourment,f4-e5,1500,1826,0-1,Indian Game,A45,https://lichess.org/fdW96WjB,300+0,Normal
Marinko27,ElChino17,1776,1737,0-1,Sicilian Defense: Smith-Morra Gambit #2,B21,https://lichess.org/UnoueOjK,360+0,Time forfeit
robobaggins,dastrian,1576,1687,0-1,"Sicilian Defense: Modern Variations, Tartakower",B53,https://lichess.org/AxKCMDQ5,30+3,Normal
Skidoodle,edia10,1521,1336,1-0,Mikenas Defense,A40,https://lichess.org/u4EJAnES,180+0,Time forfeit
anax_makis,kra22,2184,1708,1-0,Sicilian Defense: Old Sicilian,B30,https://lichess.org/lM8X8PBI,600+0,Time forfeit
LechuckDegoulash,Zenga,1868,1817,1-0,Sicilian Defense: Closed Variation,B23,https://lichess.org/CzCHuwKc,600+0,Normal
rafael59,danilu,1641,1610,0-1,Queen's Pawn Game: Franco-Sicilian Defense,C00,https://lichess.org/044BbBex,300+0,Normal
ghelas74,dror13,1604,1410,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/Hr6QwJSs,900+5,Normal
aila,HicSuntLeones555,1818,1953,1-0,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/MsPBNzlj,120+1,Normal
rado68399,juju-33,1931,2043,1-0,Indian Game: Przepiorka Variation,A49,https://lichess.org/ihMJCNn5,180+0,Normal
slipenko,wcasique2000,2078,1616,1-0,Modern Defense,A40,https://lichess.org/6YIhkrv8,180+0,Time forfeit
suso25,Blunderov,1372,1456,1-0,Sicilian Defense,B50,https://lichess.org/dojM3Dl4,300+0,Time forfeit
MgrZ,epix,1615,1475,1-0,Gunderam Defense,C40,https://lichess.org/pkjuhFHC,300+2,Normal
aleksandar,HugeCasual,1668,1571,0-1,Queen's Pawn Game: Colle System,D04,https://lichess.org/L0QMqjkA,300+0,Time forfeit
pro-life,bulyak,1376,1643,0-1,Grob Opening,A00,https://lichess.org/orkASmTZ,120+0,Time forfeit
Demchenko,onare,1893,1810,1-0,Caro-Kann Defense: Advance Variation,B12,https://lichess.org/BZdGRZpM,180+1,Normal
Tarek_Fathy,easterrabbit,1795,1824,1/2-1/2,English Opening,A10,https://lichess.org/XUVh8iiM,60+1,Normal
stef94,marrakchiii,1677,1663,1-0,Queen's Pawn Game: Krause Variation,D02,https://lichess.org/ur14R7gL,900+0,Normal
naquiro,miomatteo,1679,1703,0-1,Van't Kruijs Opening,A00,https://lichess.org/7DYxKanP,120+5,Normal
arod77,skendi,1799,1732,1-0,Dutch Defense: Queen's Knight Variation,A85,https://lichess.org/n0jL3goq,300+0,Normal
Qbalitro,puliciclone,1667,1750,0-1,Slav Defense,D10,https://lichess.org/tB9DR8KM,300+1,Normal
DragonRider,victor325,1744,1896,0-1,"Ruy Lopez: Schliemann Defense, Jaenisch Gambit Accepted",C60,https://lichess.org/XQ3Ljvxs,600+3,Normal
psicoppardo,njayd,1495,1434,1-0,English Opening: The Whale,C20,https://lichess.org/LT5xHqrj,300+0,Normal
adardore,ximatzo,1334,1773,0-1,Center Game: Normal Variation,C22,https://lichess.org/soZtATYI,120+3,Normal
edj,Trai,1841,1759,0-1,"Slav Defense: Slav Gambit, Alekhine Attack",D10,https://lichess.org/IQT8KQS3,180+0,Normal
bonoboto,davidbee123,1939,1509,1-0,Zukertort Opening: Queen's Gambit Invitation,A04,https://lichess.org/wKrHFyOa,60+1,Time forfeit
Kentiara,DesdeLasCenizas,1490,1458,1/2-1/2,English Defense #2,A40,https://lichess.org/IGETnN6l,300+4,Normal
MuRus,max38400,1798,1743,1-0,Queen's Pawn Game #3,D00,https://lichess.org/N32oOk3R,180+0,Normal
QuintyAlpha,Djisa,1491,1607,0-1,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/i7R2HNo8,360+5,Time forfeit
rharbeg,gerolsot,1546,1341,0-1,English Opening: Symmetrical Variation,A30,https://lichess.org/YeDhauCB,600+0,Normal
Vne1,Rozzen,1767,1859,1-0,"King's Gambit Accepted, MacLeod Defense",C34,https://lichess.org/LAz6sPsU,180+0,Normal
grimus,sezai,1663,1264,1-0,System: Double Duck Formation,A02,https://lichess.org/b0jNPlHT,300+8,Normal
Advenxadrista,Rene1er,1935,1953,1-0,"English Opening: Symmetrical Variation, Fianchetto Variation",A36,https://lichess.org/5QsagQFq,600+0,Normal
mart55,ThatAmine,1668,1822,1-0,Caro-Kann Defense,B10,https://lichess.org/huQmOgBv,300+0,Normal
Falcon3404,goran_milosevic,1242,2195,0-1,Ruy Lopez: Classical Variation,C64,https://lichess.org/1uneCBeS,600+0,Normal
hitenz,trystal,1523,1740,0-1,Owen Defense,B00,https://lichess.org/hr9ZUyaR,180+0,Time forfeit
medion3000,PROmedallin3506,1719,1871,0-1,Trompowsky Attack,A45,https://lichess.org/kQUmSwSn,300+0,Normal
jcibal,newspapermyfoolul,1546,1530,1-0,Queen's Pawn Game: Krause Variation,D02,https://lichess.org/pdIvXjbi,300+8,Normal
callejo22,hferrer,1747,1769,0-1,Caro-Kann Defense: Hillbilly Attack,B00,https://lichess.org/zSrxa7wn,1500+3,Normal
siko191,ogi_bor,1658,1305,1-0,Russian Game: Urusov Gambit,C42,https://lichess.org/WmTXxlUY,300+0,Normal
oselposel,momj940728,1853,1535,1-0,Italian Game,C50,https://lichess.org/zyrEqjfN,600+0,Normal
anemos_el,Homer616,1571,1392,0-1,Philidor Defense: Exchange Variation #2,C41,https://lichess.org/ErDkDmiP,300+4,Normal
Marcowonka2393,CorruptionKills,1715,1694,0-1,Sicilian Defense: Four Knights Variation,B45,https://lichess.org/L3jCu8LF,600+0,Normal
brainfog,Capanero,1531,1320,0-1,"Sicilian Defense: Canal Attack, Main Line",B52,https://lichess.org/EagcHvOr,180+1,Normal
andrestf,daBALYAN8,1645,2042,0-1,London System,A48,https://lichess.org/NncmW8Bh,600+5,Normal
yami09,fouhad42,1758,1879,0-1,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",C58,https://lichess.org/uWA3SkQt,600+0,Time forfeit
jonatan86,ashkan1206,1298,1578,0-1,Nimzo-Larsen Attack: Modern Variation #4,A01,https://lichess.org/V5DDeABw,1200+0,Normal
abv90,Lijk,1388,1448,1-0,"Italian Game: Giuoco Pianissimo, Normal",C50,https://lichess.org/rt2duKmL,360+2,Normal
michielmertens,HammondB3,1651,1516,1-0,King's Indian Attack,A08,https://lichess.org/cDUCY2Zb,300+0,Normal
apalom1,FugeePlayer,1633,1553,1/2-1/2,Sicilian Defense: French Variation,B40,https://lichess.org/F69okQv6,720+10,Time forfeit
BobyM,MCozturk,1607,1860,0-1,Caro-Kann Defense: Exchange Variation,B13,https://lichess.org/vKUj0hpc,240+0,Normal
olacy77,FA9024,1884,1705,0-1,Horwitz Defense,A40,https://lichess.org/kCUTptzY,120+0,Time forfeit
amineALG,Motherf,1548,1657,1-0,Philidor Defense #2,C41,https://lichess.org/gqw0xf1K,600+3,Time forfeit
BerBur,Brokker,1246,1661,1-0,Queen's Pawn Game #2,D00,https://lichess.org/oy6PhsVa,180+0,Normal
shaheer19991,miguelnm,1818,1890,0-1,French Defense: Exchange Variation,C01,https://lichess.org/HBlgQWLH,300+0,Normal
webfg,anatolyp,1762,1780,1-0,Caro-Kann Defense,B12,https://lichess.org/vR1AfS44,120+1,Normal
strilets,VinnyBottnik,1352,1489,0-1,Sicilian Defense: Smith-Morra Gambit #2,B21,https://lichess.org/0e8vSuDk,180+0,Time forfeit
camulosian,Japo2905,1713,1687,0-1,French Defense: Knight Variation,C00,https://lichess.org/ofLyYmtG,300+0,Normal
PatriarchAscends,Josean,1467,1549,0-1,Italian Game,C50,https://lichess.org/Ba84wM9z,600+5,Normal
dafalgan,TronaldDump,1770,1743,1-0,Center Game: Paulsen Attack Variation,C22,https://lichess.org/fF3xsJwv,120+0,Normal
ferchos,Mr_Toodles,1851,2029,1-0,"French Defense: Tarrasch Variation, Chistyakov Defense",C07,https://lichess.org/nkc2LosC,240+2,Normal
bialaschess,OsvyTron,1576,1657,0-1,Scotch Game: Paulsen Attack,C45,https://lichess.org/96XAV8aP,180+0,Normal
sidacotel,pdj,1868,1889,1/2-1/2,Queen's Pawn,A40,https://lichess.org/j6Usly3c,180+0,Normal
kerk2020,mnozari,1754,1762,1-0,Sicilian Defense: Open #3,B32,https://lichess.org/GqwS9EHz,1080+0,Time forfeit
ephemeron,catyes,1583,1428,1/2-1/2,"Italian Game: Two Knights Defense, Knight Attack",C57,https://lichess.org/Ny7kWLsO,300+0,Normal
Ded_Atlet_40_let,dfloyd,1486,1665,1-0,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/4sDxna5k,600+0,Normal
ChessMasterKikly,tor2014,1665,1766,1-0,Philidor Defense,C41,https://lichess.org/h4iYp7rM,300+8,Normal
hrle,varashh,1614,1609,1-0,Queen's Pawn Game #2,D00,https://lichess.org/tT8kWW1k,1800+8,Normal
mirumen,polmorenoc,1733,1619,1-0,Modern Defense: Pseudo-Austrian Attack,B06,https://lichess.org/j78QkYKy,300+2,Normal
recapitation,LuH-mAs,1849,1892,1-0,Indian Game: Budapest Defense,A51,https://lichess.org/d1n3xThM,180+0,Time forfeit
Yoh182b,bobby10,1635,1568,0-1,Philidor Defense,C41,https://lichess.org/EdyaK9lG,600+5,Normal
Jecmiste,asimkasimkesmeklazim,1503,1596,0-1,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/rg4stlQN,300+8,Normal
enrirodvilla,philandron,1471,1490,0-1,Four Knights Game: Scotch Variation Accepted,C47,https://lichess.org/a6Nk0CtM,720+0,Normal
SnakeBite,GabinoLupin,1661,1798,0-1,Bird Opening,A03,https://lichess.org/ZiUfOBcl,120+1,Time forfeit
szokericsi,MarkFreeman,1462,1662,0-1,Nimzo-Larsen Attack: Modern Variation,A01,https://lichess.org/d4IHYEJi,-,Normal
mizzau,zulras,1762,1692,1-0,Ruy Lopez: Berlin Defense #2,C65,https://lichess.org/gLropPPU,900+8,Normal
palaunisi,carlosgn,1603,1549,1-0,"Italian Game: Classical Variation, Giuoco Pianissimo",C53,https://lichess.org/3kyAuMTV,420+0,Normal
GMBlunder,antoniobo62,2016,1845,1-0,King's Indian Attack,A07,https://lichess.org/0F0rAqXY,180+0,Normal
mar_matt,Grzybowski,1742,1747,0-1,Queen's Pawn Game: Symmetrical Variation,D02,https://lichess.org/S1ca7bGw,300+8,Normal
talivancdhidalgomich,primetime,1827,1761,1-0,"Scandinavian Defense: Main Line, Mieses Variation",B01,https://lichess.org/8h9MOW1u,180+0,Normal
Ivanhoe123,drusso,1785,1774,1-0,Horwitz Defense,A40,https://lichess.org/T0gvdHLd,600+0,Normal
dpikos,chessilicious,1189,1652,0-1,Scandinavian Defense: Boehnke Gambit,B01,https://lichess.org/aWVd8uAX,120+0,Time forfeit
tmorgan,tracekc,1584,1584,1-0,Van't Kruijs Opening,A00,https://lichess.org/9J34AjJi,300+5,Normal
Lerige,Zoak,1382,1856,0-1,Pirc Defense: Classical Variation,B08,https://lichess.org/zDWdEXTr,180+3,Normal
chiuchiu74,Loopoetam,1500,1544,0-1,Scandinavian Defense,B01,https://lichess.org/yDma8Ezg,600+0,Normal
marossi,bartolino,1409,1826,0-1,French Defense: Queen's Knight,C00,https://lichess.org/7GKdVdpP,240+0,Normal
riadh051,Artem_S,1889,1679,0-1,Sicilian Defense: Hyperaccelerated Fianchetto,A42,https://lichess.org/6kcnY8e1,300+0,Time forfeit
isaia95,dezm1962,1247,1685,0-1,Vienna Game: Anderssen Defense,C25,https://lichess.org/o0vAZceI,600+0,Time forfeit
khalilhabita,latinac,1943,1975,1-0,Sicilian Defense: Alapin Variation,B22,https://lichess.org/Q28hjSob,300+8,Normal
Bitatum,jfigueroaucsc,1627,1663,0-1,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",C57,https://lichess.org/RQObL9Tn,900+0,Normal
dubonnet,Camiri,1720,1638,0-1,Van't Kruijs Opening,A00,https://lichess.org/wwsSk40l,300+0,Normal
sniperchess,Carrinthe,2023,1748,1-0,Sicilian Defense: Closed,B24,https://lichess.org/pI94wrAE,120+5,Normal
bayaw,giuseppegvs,1646,1345,1-0,Philidor Defense #3,C41,https://lichess.org/6nyTFqYD,300+5,Normal
smiks,mustermark,1476,1478,0-1,Ruy Lopez: Berlin Defense #2,C65,https://lichess.org/LIYHE54I,300+4,Time forfeit
tmkszch,loporov,1713,1574,1-0,Italian Game: Anti-Fried Liver Defense,C55,https://lichess.org/56kNa78p,600+5,Normal
Mshir,Julian88888888,1457,1645,0-1,Queen's Pawn Game: Mason Attack,D00,https://lichess.org/4e8n3NZa,120+1,Time forfeit
John_Nash,baranaa,1770,1678,1-0,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",C58,https://lichess.org/LeHY0BQ2,300+10,Normal
Hanamuke,pablo686,1391,1441,1-0,Ruy Lopez: Vinogradov Variation,C60,https://lichess.org/N1AA3TOY,300+20,Normal
Deenniis,Scoopi,1257,1610,1-0,Sicilian Defense: Smith-Morra Gambit #2,B21,https://lichess.org/P8sgwyLD,180+0,Normal
Teutone,rozped89,1534,1316,0-1,Four Knights Game: Italian Variation,C50,https://lichess.org/MR6ELLlU,300+5,Normal
jmaltby,Nenad123,1583,1560,1-0,"King's Gambit Declined, Classical Variation",C30,https://lichess.org/aRZMWIvz,600+10,Normal
thefinalzugzwang,DannyHoward,1873,1358,1-0,Russian Game: Three Knights Game,C42,https://lichess.org/0SENVGAM,300+3,Normal
tonto27,sacas,1686,1546,1-0,Bishop's Opening: Boi Variation,C20,https://lichess.org/jBg4fkZA,1080+5,Normal
ADZ124,potsy722,2000,1940,0-1,King's Indian Attack: Sicilian Variation,A08,https://lichess.org/egWsb4fH,60+0,Normal
spatialdasein,bah1333,1492,1613,1-0,Scandinavian Defense: Main Line,B01,https://lichess.org/8LYkTJwy,120+0,Normal
marco2771,BetoRv,1868,1983,0-1,Catalan Opening: Open Defense,E04,https://lichess.org/lGfcGINO,600+0,Normal
yahoojames,omar2,1721,1878,0-1,Vienna Game: Falkbeer Variation,C26,https://lichess.org/4Znr47fs,300+0,Normal
rugbyab,Rich_22_Bro,1678,1287,0-1,Nimzowitsch Defense: Franco-Nimzowitsch Variation,B00,https://lichess.org/0auy37Yr,300+0,Normal
DaarioNaharis23,chesssn1992,1926,1927,1-0,Sicilian Defense: Snyder Variation,B20,https://lichess.org/UOM5LwFs,60+0,Time forfeit
Johncito16,ROTROT,1860,1785,1-0,Sicilian Defense: McDonnell Attack,B21,https://lichess.org/PDqkLXGq,300+8,Normal
sergior2016fev02,daamien,1500,1401,1-0,Caro-Kann Defense: Exchange Variation,B13,https://lichess.org/pNkLVWDc,300+0,Normal
Ghiri,davelawr,1500,1476,0-1,Mieses Opening,A00,https://lichess.org/dvpGHW9C,120+1,Time forfeit
capablanca31,piroballesha92,1878,1523,1-0,"Queen's Gambit Refused: Chigorin Defense, Janowski Variation",D07,https://lichess.org/Npu82vvQ,600+0,Normal
milena2006,Xerth,1601,1359,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/E4CRwsGx,900+10,Normal
Nerviens,Snicklefritzed,1613,1650,1-0,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",C58,https://lichess.org/XYwfoso5,360+3,Normal
junji,fliubo,1798,1876,1-0,Sicilian Defense,B20,https://lichess.org/7sIW1QPk,300+0,Normal
gagi59,pepelatorre,1650,1558,1-0,Philidor Defense #2,C41,https://lichess.org/xeyueI0a,480+0,Normal
Gamma1,MAJIDMB,1980,1909,0-1,"Sicilian Defense: Modern Variations, Tartakower",B53,https://lichess.org/eOsCH9UG,180+0,Time forfeit
Grino,bobina7,1410,1477,1-0,Center Game,C21,https://lichess.org/Q5s9i0ho,0+4,Normal
karmirad5,thepwr,1669,1833,1-0,Italian Game: Classical Variation #2,C53,https://lichess.org/k2VrBo6S,900+4,Normal
Chessstrojan,Gandalfs,1780,1752,0-1,French Defense: Exchange Variation,C01,https://lichess.org/1JfUczUO,900+2,Time forfeit
CREEDY,jorsahmat,1829,1947,0-1,Indian Game: West Indian Defense,E61,https://lichess.org/ZK5OXpWi,180+0,Normal
Georgesantosbrasil,SdDidfD,1499,1385,1-0,"Nimzowitsch Defense, Declined Variation",B00,https://lichess.org/ulSM8n5V,300+4,Normal
sava777,813,1911,1908,1/2-1/2,French Defense: Exchange Variation,C01,https://lichess.org/LiRnIrQZ,180+0,Time forfeit
skub,Mongol3505,1552,1561,1-0,Slav Defense #2,D10,https://lichess.org/7KlIdcgD,60+8,Normal
Kush001,pawnupnusa,1446,1401,1-0,French Defense #2,C00,https://lichess.org/wAcPFDea,240+3,Normal
Calmageddon,dario7218,1674,1720,0-1,Polish Opening: King's Indian Variation,A00,https://lichess.org/uKpzbqep,300+0,Normal
Abismuth,kankertyfus,1669,1693,1-0,"Queen's Pawn Game: Veresov Attack, Classical Defense",D01,https://lichess.org/tJduK3vM,300+0,Time forfeit
sweetnicolasParis,SirHerpington,1539,1657,0-1,"Italian Game: Scotch Gambit, Janowski Defense",C55,https://lichess.org/ayvxUSx7,360+0,Normal
capablanco,unclewilly,1622,1980,0-1,Sicilian Defense: Delayed Alapin Variation,B40,https://lichess.org/pnB8XNrD,300+4,Normal
MartyredMaverick,petrosyan15,1313,1775,0-1,French Defense: La Bourdonnais Variation,C00,https://lichess.org/VvHHZs8e,300+0,Normal
Pica_pica,Kotov_Syndrome,1846,2032,0-1,Alekhine Defense: Two Pawn Attack,B02,https://lichess.org/NHozxYvf,-,Normal
dimboo,robamoroso,1785,1647,0-1,Philidor Defense: Exchange Variation #3,C41,https://lichess.org/JL7wLZvQ,360+3,Normal
Aurorachess11,NoBanPlease,1793,2025,0-1,Mieses Opening,A00,https://lichess.org/hnh83pfF,60+0,Time forfeit
Alkiara,JuanPalk,1483,1377,0-1,Three Knights Opening,C46,https://lichess.org/ZP4xSbja,420+0,Normal
Boris_Z2,angeloseraph,1632,1828,0-1,Owen Defense,B00,https://lichess.org/HnvTNNDD,300+0,Normal
asghar57,moisessantos,1640,1686,0-1,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",C58,https://lichess.org/FkaJcf9c,60+5,Normal
mariamatos,rioancho,1690,1712,0-1,French Defense #2,C00,https://lichess.org/newJSwhH,180+2,Time forfeit
Laurus,sipahi,1864,1751,1-0,"Ruy Lopez: Steinitz Defense, Nimzowitsch Attack",C62,https://lichess.org/oGlVJRME,1500+4,Time forfeit
catonyourhead,Tvorac,1248,1593,1-0,Ruy Lopez: Bird Variation,C61,https://lichess.org/EYEdgcac,900+5,Normal
hasanp85,Arximedis,1803,1759,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/VObTzfmB,600+0,Normal
LadoKarchava,littleboy,1712,1763,1/2-1/2,Center Game: Normal Variation,C22,https://lichess.org/3xBVKxqD,60+5,Normal
Jesterking,Falkor1,1811,1872,1-0,Three Knights Opening,C46,https://lichess.org/L273bG6O,300+8,Normal
Di_Shi,emmab,1510,1356,0-1,Sicilian Defense,B20,https://lichess.org/WcAxcLrN,1200+10,Normal
Seredhel,checkmatecity,2017,1948,0-1,English Opening: Mikenas-Carls Variation #2,A18,https://lichess.org/Ii7zm7zy,300+0,Normal
smazi,grelf,1493,1497,0-1,Sicilian Defense: Closed,B23,https://lichess.org/iN4DTxYs,180+5,Normal
pochochon,nanardo,1865,1776,1-0,Indian Game,A45,https://lichess.org/Dk10srD5,300+0,Time forfeit
paleta,Jimj,1790,1837,0-1,Benoni Defense: Modern Variation,A60,https://lichess.org/yfS0hvKw,300+3,Normal
beginchess,bec95,1501,1573,0-1,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",C57,https://lichess.org/Nxcp3PiH,1200+0,Normal
KOYKOY,MasterRoshi,1580,1585,1-0,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,https://lichess.org/Q0mtGOd0,300+0,Time forfeit
erZ00,SunnyMojo,1895,1872,1-0,"Sicilian Defense: Smith-Morra Gambit Accepted, Pin Defense",B21,https://lichess.org/o7ofYlyN,90+0,Normal
Claudiush,vorapask16,2054,1830,1-0,King's Indian Attack: French Variation,A08,https://lichess.org/YQK8CvYW,300+0,Normal
jorgejlrodrigues,koudelka001,1492,1431,0-1,English Opening: King's English Variation,A20,https://lichess.org/uTTBAAOJ,600+0,Normal
KJ9,halam123,1724,1751,1-0,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/iZOejtxb,600+0,Normal
CyberSpriteGirl,xkamil,1637,1458,1-0,Scandinavian Defense: Gubinsky-Melts Defense,B01,https://lichess.org/KzpTM3c3,540+0,Normal
LouietheOneth,Marilina,1439,1520,1-0,Elephant Gambit,C40,https://lichess.org/z5V03pvx,1200+2,Normal
Alessiooo,MILVI,1680,1650,1/2-1/2,Queen's Pawn Game: Chigorin Variation,D00,https://lichess.org/steUJ8Ca,1200+1,Normal
johnnyhoang,MikiLazovic,1774,2120,0-1,Giuoco Piano,C50,https://lichess.org/m4Xy1qZJ,300+2,Normal
x7557,armaniii,1941,1734,1-0,Horwitz Defense,A40,https://lichess.org/6nSNKtoG,240+0,Normal
Alucard69,Zgeronix,1402,1477,0-1,Queen's Pawn Game #2,D00,https://lichess.org/cpGstIZh,900+0,Normal
harveyg123,Nick_Chess_Helios,1809,1640,0-1,King's Indian Defense: Normal Variation,E70,https://lichess.org/0Hebpvmi,600+0,Normal
Pauliran,durvaljunior,1931,1500,1-0,Slav Defense: Three Knights Variation,D15,https://lichess.org/x2gK4euq,900+2,Normal
kobokobo,Alexander_the_Great,1279,1629,0-1,Center Game: von der Lasa Gambit,C21,https://lichess.org/iPhxyFzV,420+0,Normal
ccssyee,chriss077,1471,1722,1-0,Mikenas Defense,A40,https://lichess.org/X524rpzX,900+3,Normal
justinthegreat,itzRomeu,1758,1425,0-1,"English Opening: King's English Variation, Three Knights System",A27,https://lichess.org/NmYKOgWa,600+0,Normal
Siagas,camilocancino,1666,1788,0-1,Queen's Pawn Game: Colle System,D04,https://lichess.org/VfLe5hkS,300+0,Normal
babazeba2013,erikelrojo,1542,2214,0-1,Van't Kruijs Opening,A00,https://lichess.org/LKGkpcbp,600+0,Normal
pappista,microcommega,1767,1946,0-1,Indian Game,A45,https://lichess.org/INtlEDFN,480+0,Time forfeit
trancaxo,husref,1921,1731,1-0,Old Benoni Defense,A43,https://lichess.org/Hjor8bKi,600+0,Normal
borisalexandrov,fandebobby,1636,1374,1-0,Petrov's Defense,C42,https://lichess.org/1GAwh7Nj,300+0,Normal
R2184,JFRB,1448,1462,0-1,Philidor Defense #2,C41,https://lichess.org/E7wbA8d6,900+8,Normal
crixuz,Samstooper,1461,1476,1-0,Italian Game,C50,https://lichess.org/hGihuebt,600+0,Normal
chessjihad,Thorini,1835,1719,1-0,English Opening: King's English Variation,A20,https://lichess.org/wqWnMf4X,180+0,Normal
Bertrand47,ibonuribeetxebarria,1543,1864,0-1,Horwitz Defense,A40,https://lichess.org/quoGNvNE,300+0,Normal
chancegardiner,Momo-NK,1972,1938,1-0,Sicilian Defense: Closed Variation,B23,https://lichess.org/H510s3gy,300+0,Normal
bilbao2016,whitegirl,1423,1566,0-1,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/61DKBAaG,300+0,Normal
mariodovasco,Matian,1739,1134,1-0,Caro-Kann Defense,B10,https://lichess.org/hkdv98GT,480+0,Time forfeit
edgardsy,BOTKARPRAC,1776,1773,1/2-1/2,Owen Defense,B00,https://lichess.org/AH4TqK3u,600+0,Time forfeit
dozitaicho,chudy,1666,1570,0-1,Owen Defense,B00,https://lichess.org/zfcrqIRI,60+4,Normal
Gigahertz,StuG,1421,1541,1/2-1/2,Hungarian Opening,A00,https://lichess.org/moMmagb4,480+4,Time forfeit
sarooman,dannie49,1610,1787,0-1,"English Opening: Anglo-Indian Defense, Hedgehog System",A17,https://lichess.org/H212WJMJ,300+0,Time forfeit
Xilitol22,_the_boss,1636,1541,1-0,Philidor Defense #2,C41,https://lichess.org/TMeu4aBo,240+0,Time forfeit
karlos_korona,pepi_1800,1982,1933,1-0,Four Knights Game: Italian Variation,C46,https://lichess.org/2euZyXKs,300+5,Normal
adilsonchess,psouza1501,1865,1871,1-0,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",C66,https://lichess.org/I7AGm5pe,300+3,Time forfeit
handpic11a,samjjames,1765,1713,0-1,Pirc Defense #5,B07,https://lichess.org/AznJcRb2,60+0,Time forfeit
jureVII,Ares246,1732,1342,1-0,Petrov's Defense,C42,https://lichess.org/cuZ61kuW,120+4,Time forfeit
Transit,gguth,1691,1867,0-1,English Opening: Anglo-Scandinavian Defense,A10,https://lichess.org/FGWaGMlh,720+3,Normal
Tennisininkas,andolo,1596,1575,0-1,"King's Gambit Declined, Queen's Knight Defense",C30,https://lichess.org/U4zLXqTl,600+5,Normal
Cory37,alfo,1731,1898,0-1,Semi-Slav Defense,D43,https://lichess.org/FEAITVI1,600+5,Normal
Save_whale,Trastornomental,1720,1690,0-1,French Defense: Knight Variation,C00,https://lichess.org/28jy8QDT,300+10,Normal
maan,Murmeltier28,1789,1605,1-0,Nimzowitsch Defense: Williams Variation,B00,https://lichess.org/tYWYvxA4,300+0,Time forfeit
JG22,wickawack,1447,1562,0-1,Nimzo-Indian Defense,E20,https://lichess.org/0jCtQLjT,300+0,Normal
timschnittke,KingofKings6,1572,1566,0-1,Scandinavian Defense: Modern Variation #2,B01,https://lichess.org/71zpprRN,60+0,Normal
Fanzy,gorrillabob,1455,1418,1-0,Philidor Defense,C41,https://lichess.org/Pf27doB8,600+7,Normal
eurostar,NaturalPunishment,2037,1936,1-0,Van't Kruijs Opening,A00,https://lichess.org/o7u7GaZh,60+0,Normal
SiviSoko,pipinghotsos,1672,1635,0-1,"English Opening: Anglo-Indian Defense, Hedgehog System",A17,https://lichess.org/W5cBcpVx,300+3,Time forfeit
Estefan,Rapolas,1682,1647,1-0,King's Pawn Game: Dresden Opening,C44,https://lichess.org/c3Imsom7,600+0,Normal
Martinef12,seyed111,1524,1920,0-1,King's Gambit,C30,https://lichess.org/F1QdbKIN,360+0,Normal
