white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
Aladinek,farbod1,1957,1760,1/2-1/2,Ruy Lopez: Morphy Defense,C78,https://lichess.org/NPtcSg4C,180+2,Normal
ParsIran,abdo_7oss,1649,1887,0-1,Sicilian Defense: Open #3,B32,https://lichess.org/pjv2JEls,180+0,Normal
Maradona86,georgemguitarist,1873,1805,1-0,Queen's Gambit Declined: Queen's Knight Variation,D31,https://lichess.org/Qfn1PVWE,240+0,Normal
hnabhan,yaraos,1790,1278,1-0,Petrov's Defense,C42,https://lichess.org/IfOeHMHV,-,Normal
paerstymer,MrLegilimens,1670,1629,0-1,Queen's Gambit Refused: Marshall Defense,D06,https://lichess.org/abQVelu2,60+0,Time forfeit
grasshopper,decidement,1806,2005,1-0,Hungarian Opening,A00,https://lichess.org/o1wgrv4Z,60+0,Normal
giumag,Mejentyrty,1444,1875,0-1,Queen's Pawn Game: Symmetrical Variation,D02,https://lichess.org/DCYHPEw7,300+0,Time forfeit
Aristote69,rich21,1681,1257,1-0,Russian Game: Three Knights Game,C42,https://lichess.org/ill7RXcQ,180+5,Normal
Kambalass,derBomber,1792,1635,1-0,French Defense: King's Indian Attack,C00,https://lichess.org/Zip7AgLN,300+0,Time forfeit
holosplay,kmk74,1412,1579,1/2-1/2,Nimzo-Larsen Attack,A01,https://lichess.org/BTzOw00I,600+0,Normal
ASADcz,Kastell10,1789,1737,0-1,Nimzo-Larsen Attack,A01,https://lichess.org/QzPKtSpU,120+0,Time forfeit
slobodan0808,EamonMont,1470,1843,0-1,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/WWxIDqNA,300+0,Normal
Tsarukyan,Chessorama,1637,1911,0-1,French Defense: King's Indian Attack,C00,https://lichess.org/DimS2YMo,600+0,Normal
JuliusDL,LT2016,1749,1741,1-0,Horwitz Defense,A40,https://lichess.org/2EcC7aPX,60+0,Time forfeit
Enric52,honorarycitizen,1825,1967,0-1,Caro-Kann Defense,B11,https://lichess.org/4giycZw2,60+0,Normal
Gallaecia,tchang1997,1477,1519,0-1,Sicilian Defense,B20,https://lichess.org/pfodYGo2,1200+10,Normal
Fischess,ibricaaa,1937,1428,1-0,Three Knights Opening,C46,https://lichess.org/AFBoo4sM,180+0,Time forfeit
Volocuga,ioannes100,1691,1696,1-0,Sicilian Defense: Delayed Alapin,B50,https://lichess.org/MMHEHvcu,300+0,Normal
Ernestobula,diskala,1782,1716,1-0,Queen's Pawn Game: Mason Attack,D00,https://lichess.org/YqVlCedx,900+0,Normal
davud1366,Sayesomob,1447,1810,0-1,Bird Opening: Williams Gambit,A03,https://lichess.org/o81YqF9l,300+0,Time forfeit
peacenblessing,billytaylor64,1710,1567,1-0,Sicilian Defense: Staunton-Cochrane Variation,B20,https://lichess.org/ws27YnMp,360+0,Time forfeit
nightphorge,Paco67,1896,1695,1-0,Van Geet Opening,A00,https://lichess.org/ZnqXydwF,60+0,Time forfeit
Jesus33,JackBauer,1823,2112,0-1,Vienna Game: Mieses Variation,C26,https://lichess.org/atlk8LOm,300+0,Normal
Urbano,w-e-e-d,1789,1852,0-1,Rat Defense: Small Center Defense,C00,https://lichess.org/Xehi24ak,30+0,Normal
videk,newsimbol,1447,1498,0-1,Queen's Pawn Game,D00,https://lichess.org/xVxHZc6s,0+4,Time forfeit
grinch11,Philipp_Stuttgart,1869,2077,0-1,French Defense: Normal Variation,C00,https://lichess.org/MhdrA7K3,60+0,Normal
morfolideo_sacco,Sabelrat,2043,1908,0-1,"French Defense: Advance Variation, Euwe Variation",C02,https://lichess.org/RU59x04Y,300+0,Normal
maxlav,mechanized,2025,1665,1-0,"Italian Game: Evans Gambit, Tartakower Attack",C52,https://lichess.org/oxIfVQ6c,180+0,Normal
samuelhaupt3,packattack737,2102,1830,0-1,King's Indian Defense: Orthodox Variation,E91,https://lichess.org/xvoFUgJJ,60+0,Time forfeit
Luis1973,rotehund,1793,1778,0-1,French Defense #2,C00,https://lichess.org/OSNr43uV,180+0,Time forfeit
Nedjo-Master,Turukmakkto,1720,1975,1-0,Scotch Game,C45,https://lichess.org/pEbQC2Ym,60+0,Normal
maris88,Foutleerwerk,1846,1890,1-0,St. George Defense,B00,https://lichess.org/cIocHs1F,240+2,Normal
Bupi99,mikelimtm,1420,1656,0-1,French Defense: Knight Variation,C00,https://lichess.org/nCFPOAxH,1800+0,Normal
RussianMaverik,arequipatomas,1361,1522,1-0,King's Pawn Game: Damiano Defense,C40,https://lichess.org/IycRyi4f,180+0,Normal
IsraelAlcaraz,kartoshka69,1660,1777,0-1,Center Game: Normal Variation,C22,https://lichess.org/o54WeHzm,180+0,Time forfeit
albybobby,bezveze,1688,1792,0-1,Scandinavian Defense,B01,https://lichess.org/hfL1GfRa,60+0,Time forfeit
shuntandromed1,fishpatz,1998,1676,0-1,French Defense: Normal Variation,C00,https://lichess.org/iYf8kWlT,60+0,Normal
Tregelles,IICUXOIIAT,1545,1682,1-0,Sicilian Defense: Keres Variation,B20,https://lichess.org/MVJwAOqC,120+2,Normal
sciguy,ehsan699,1401,1672,0-1,Queen's Pawn Game,D00,https://lichess.org/VY6vDofo,180+0,Time forfeit
Stupe11,Thelugalz,1764,2015,0-1,"Sicilian Defense: Accelerated Dragon, Modern Variation",B34,https://lichess.org/1XKRz5oN,60+0,Time forfeit
Grota,mies,1576,1550,0-1,Bishop's Opening: Berlin Defense,C24,https://lichess.org/N4dIYg9a,1200+5,Normal
inkt2002,rautor,1495,1525,0-1,Philidor Defense #3,C41,https://lichess.org/mBddCwBt,0+4,Normal
Ben034,NikB,1893,1834,0-1,English Opening: Agincourt Defense,A13,https://lichess.org/f2hyFqXe,120+0,Time forfeit
keresmatic,Avatarhood,1691,1825,0-1,"King's Gambit Declined, Queen's Knight Defense",C30,https://lichess.org/lSZ6spix,180+0,Time forfeit
Marian3,superchango99,1425,1491,0-1,Four Knights Game: Spanish Variation,C48,https://lichess.org/RcCaN4IE,300+0,Normal
Brancho,katanca,1701,1690,1-0,French Defense #2,C00,https://lichess.org/EGHBGLdT,300+0,Normal
Kintsugi,yann124,1675,1645,1-0,Slav Defense: Modern Line,D11,https://lichess.org/s60ief4A,180+0,Normal
ricky14,stevieray,1842,1878,0-1,Slav Defense: Exchange Variation,D10,https://lichess.org/oWSJLban,600+0,Normal
KZC,Sviat0,1536,1594,1-0,Sicilian Defense,B20,https://lichess.org/giFCV6yg,300+3,Normal
IndiGroove,Ivorybags,1825,1891,1-0,Philidor Defense: Exchange Variation #2,C41,https://lichess.org/GEsChALu,900+3,Normal
lastgioaspe,serkanatis,1950,1913,0-1,Rat Defense: Small Center Defense,C00,https://lichess.org/OOVoxtNP,180+2,Normal
leoauber,MaxSherwin,1556,1435,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/DxNq3lOe,180+3,Normal
sobh,inge_7000,1900,1946,0-1,Hungarian Opening: Slav Formation,A00,https://lichess.org/CXFY6Pl2,30+0,Time forfeit
castles,windycitycg,1825,1568,1-0,Semi-Slav Defense: Accelerated Move Order,D31,https://lichess.org/mpay0jhs,60+0,Time forfeit
Iohonon,patatero,1904,1349,1-0,"Queen's Gambit Refused: Chigorin Defense, Janowski Variation",D07,https://lichess.org/MZjwvM7R,300+0,Time forfeit
andopp,Knn1215,1673,1481,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/EdRw8dix,60+0,Time forfeit
Leonidiv,mkoga,1836,1574,1-0,Caro-Kann Defense: Exchange Variation,B13,https://lichess.org/SKh9z08E,300+0,Time forfeit
gravihouse,zombiehorse,1944,1746,1-0,Englund Gambit Complex Declined,A40,https://lichess.org/Q7em3gYc,30+0,Time forfeit
dpedro,Jgor,1835,1736,0-1,Giuoco Piano,C50,https://lichess.org/G3w7YWDK,300+8,Normal
strongesttt,panitta,2006,1957,0-1,"Queen's Gambit Refused: Chigorin Defense, Main Line",D07,https://lichess.org/6gicRPFp,180+0,Time forfeit
bb8,guantebla,1918,1944,0-1,Mieses Opening,A00,https://lichess.org/HOdF5B5C,0+1,Normal
dupinozka,Jbramel,1332,1519,0-1,Sicilian Defense: McDonnell Attack,B21,https://lichess.org/UAjssbB7,45+3,Time forfeit
IsolatedPun-Youtube,Zijiakee,1939,1993,0-1,French Defense: Knight Variation,C00,https://lichess.org/efZBFGGZ,180+0,Normal
elodotis,TARGUS2015,1891,1755,1-0,Alekhine Defense,B03,https://lichess.org/lv9BeKve,300+0,Time forfeit
pawncount,hyungnam,1736,1676,1-0,Ruy Lopez: Cozio Defense,C60,https://lichess.org/jyxbkfqP,120+0,Normal
Siul,herbalife,1642,1232,1-0,Sicilian Defense: Jalalabad Variation,B27,https://lichess.org/yRRG2R7B,900+10,Normal
alanogier,laslonadjlacika,1843,1688,1-0,Modern Defense,A40,https://lichess.org/lNeRMmIQ,720+10,Normal
