white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
fendo59,Chrisfischer,1675,1630,0-1,"French Defense: Advance Variation, Nimzowitsch System",C02,https://lichess.org/dABRLySZ,120+1,Normal,,,blitz,1820.0,1890.0,,,11073,1117,11376,,,bullet,1623.0,1748.0,,,14305,666,14404
rodick,doradense,1610,1812,0-1,Queen's Pawn,A41,https://lichess.org/0DtErMH6,600+5,Normal,,,unknown,,,,,0,0,0,,,rapid,1126.0,1410.0,1892.0,,6755,595,5689
Alex_22,LeonardoPSG95,2035,1577,1-0,Philidor Defense,C41,https://lichess.org/JzVmdQ5f,60+0,Normal,,,bullet,,,,,3130,88,1290,,,unknown,,,,,0,0,0
i2hi2play,Finland,1442,1558,1-0,English Defense #2,A40,https://lichess.org/3buhWOt9,300+0,Normal,,,unknown,,,,,0,0,0,,,blitz,,,,,4597,282,5117
Circa82,Ushisan,1275,1790,0-1,"Sicilian Defense: Dragon Variation, Classical Variation #2",B72,https://lichess.org/WU3epEde,60+0,Time forfeit,,,bullet,,,,,60098,1853,73891,,,puzzle,,,,,256,20,222
zouhir,moacir,1651,1614,1/2-1/2,Queen's Pawn Game #2,D00,https://lichess.org/ZU3Rt2vI,60+1,Normal,,,bullet,,1839.0,1867.0,,19615,773,20539,,,bullet,1803.0,1805.0,,,18089,562,22872
Peon__mal0,DanielGonzales,1721,1841,1-0,Four Knights Game: Scotch Variation Accepted,C47,https://lichess.org/qZgR8y5f,180+0,Normal,,,blitz,1670.0,1710.0,,,25274,2335,26586,,,puzzle,,,,,260,13,308
helmutLipfert6,CtrlAltDelicious,1639,2051,0-1,Sicilian Defense: McDonnell Attack,B21,https://lichess.org/y6LcGxK1,60+0,Time forfeit,,,bullet,,,,,32232,2469,33988,,,bullet,2564.0,2331.0,,,26342,2755,22040
marcomar,projeto,1789,1700,0-1,Hungarian Opening,A00,https://lichess.org/Nuh7SpMo,120+8,Normal,,,rapid,,,1980.0,,11064,2129,13002,,,unknown,,,,,0,0,0
Perfectit,ceccafili,1770,1832,0-1,Ware Opening,A00,https://lichess.org/TpcJxXze,1200+8,Normal,,,puzzle,,,,,218,15,176,,,classical,,,1576.0,1719.0,2781,226,2039
sieniek,Peapop,1628,1655,1-0,Philidor Defense #3,C41,https://lichess.org/qQLKta3c,300+3,Normal,,,bullet,1937.0,1835.0,,,11017,670,11415,,,blitz,,1509.0,,1744.0,20717,1943,22879
