white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
j-mo,kushnirov,1294,1200,1-0,King's Pawn Game: Damiano Defense,C40,https://lichess.org/w7r1YcHP,300+2,Normal
yaminga1,BrunoEvangelista,1249,1277,1-0,Four Knights Game: Ranken Variation,C48,https://lichess.org/X0abb39c,600+3,Normal
Aperage,Tilapa,1334,1462,0-1,Queen's Gambit Refused: Marshall Defense,D06,https://lichess.org/bQI3rX00,120+0,Normal
Navbav44,mb3d,1517,1109,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/yQzZVudE,420+25,Normal
hashio,vondeeja,1367,1306,0-1,French Defense #2,C00,https://lichess.org/8EKD6a6H,180+2,Normal
nji2009,Graniteglacier,1202,1196,0-1,Van't Kruijs Opening,A00,https://lichess.org/A3wBjEwS,300+0,Time forfeit
supermike88,Stygian,1371,1249,1-0,Sicilian Defense,B20,https://lichess.org/nvloC9yo,1200+0,Normal
Sasialdo,rodrigosouza,1342,1215,1-0,Petrov's Defense,C42,https://lichess.org/Wx3nX8yh,300+0,Normal
youcheckimate,Tap_the_Apex,1533,1236,1-0,"Ruy Lopez: Morphy Defense, Caro Variation",C70,https://lichess.org/N6xXnNAD,300+5,Normal
Nebri,ssreeramj,1345,1442,0-1,Old Indian Defense,A53,https://lichess.org/PA3plsxI,60+0,Time forfeit
Franco85,Poliszczuk,1133,1500,1-0,Old Indian Defense,A41,https://lichess.org/5kNBWI4n,600+5,Normal
reynolal,Davidyero,1157,1225,1-0,Owen Defense,B00,https://lichess.org/IacN20IC,480+10,Normal
crist15,joyvictornsp,1441,1205,1-0,French Defense: King's Indian Attack,C00,https://lichess.org/5yHMfM81,120+0,Time forfeit
sullygoose,Atzhara17,1282,1115,0-1,English Opening: Symmetrical Variation,A30,https://lichess.org/iNs2vQbs,960+0,Normal
paulosz1,whaler,1150,1551,0-1,Sicilian Defense,B20,https://lichess.org/rxp1kWXz,60+0,Normal
phrojoe,oniOnFun,1500,1238,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/ouP97UjJ,300+0,Time forfeit
jjc2216,DATKA,1444,1223,1-0,Scandinavian Defense,B01,https://lichess.org/7gssfPJ8,300+0,Normal
rntatsuya,bigski,1357,1117,0-1,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/XuhDRqWf,600+10,Time forfeit
mindfreak,LittleKnight,1389,1337,0-1,Queen's Pawn Game #2,D00,https://lichess.org/JJf4rnLL,300+8,Normal
Ignut,infinia,1071,1168,1-0,Queen's Pawn Game,D00,https://lichess.org/eCgJ9pzl,60+0,Time forfeit
rosakarelia123,pankaj-su,992,1760,0-1,Sicilian Defense: Closed,B23,https://lichess.org/c4Mx2RJ7,120+0,Normal
kirso,seneca99,1519,1253,1-0,Sicilian Defense,B50,https://lichess.org/3yBKlvaM,300+0,Normal
starleytj,Jayler,1367,1413,0-1,Russian Game: Three Knights Game,C42,https://lichess.org/KUeIBXqz,600+1,Normal
aikan,xxxAIDSxxx,1323,1408,0-1,Sicilian Defense: Staunton-Cochrane Variation,B20,https://lichess.org/m6hry4bf,360+5,Normal
Filipi_SP_Brasil,Alien-5,1011,1397,0-1,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/58YVYUOx,300+8,Time forfeit
mikla,foolishlingerer,1219,1405,1-0,Englund Gambit,A40,https://lichess.org/5f3hnjgW,180+0,Time forfeit
Rosedark,j_milla,1309,1377,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/EVkWdkW3,300+8,Normal
chessmaan87,Capanero,1414,1333,1-0,Slav Defense: Modern Line,D11,https://lichess.org/pF7ddlJe,180+1,Normal
