white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
youcantspag,iTo0ns,1285,1301,0-1,Ponziani Opening: Jaenisch Counterattack,C44,https://lichess.org/6vqi9jfA,900+0,Normal,,,puzzle,,,,,340,26,406,,,blitz,,,,,5311,471,5497
Alfiluz,sonnybudi,1276,1500,1-0,Mikenas Defense,A40,https://lichess.org/Q2aSumaq,120+1,Normal,,,puzzle,,,,,382,25,504,,,rapid,,,,,44,2,55
chrissyk,RichKennedy,1257,1106,1-0,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/sVdnmjLw,360+8,Normal,,,puzzle,,,,,408,36,757,,,rapid,,,,,2,2,14
Negruz,Lihuen,1500,1260,1-0,Mikenas Defense,A40,https://lichess.org/8qM1FRcM,1800+0,Normal,,,blitz,,1277.0,1425.0,,966,24,1006,,,puzzle,,,,,15,4,49
ALISHER4ik,tedyjordan,1422,1340,0-1,Zukertort Opening: Tennison Gambit,A06,https://lichess.org/8huAmdMZ,480+0,Time forfeit,,,rapid,,,,,2436,128,3156,,,rapid,,,,,620,35,1412
Turb0Chess,Brotback,1291,1386,0-1,Caro-Kann Defense: Exchange Variation,B13,https://lichess.org/RG2H9KAz,120+60,Time forfeit,,,puzzle,,,,,350,31,662,,,puzzle,,,,,1502,335,1862
dani1001,mruni,1119,1018,1-0,"French Defense: Classical Variation, Svenonius Variation",C10,https://lichess.org/scv2BXCA,240+5,Normal,,,puzzle,,,,,2645,196,1917,,,blitz,2061.0,1921.0,,,21745,1710,22355
levagabon_du92,casandra,1487,1174,1-0,Philidor Defense #2,C41,https://lichess.org/2hGY5QFo,240+0,Normal,,,blitz,,,,,1629,160,2243,,,blitz,,,,,745,105,1275
lucena006,T80,1112,1295,0-1,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/qNJiymjh,900+0,Normal,,,rapid,,,1006.0,,1391,137,3226,,,rapid,,,,,4000,282,2584
Hot_Pocket,BRIJ_N,1338,1409,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/HwLIUYES,300+0,Normal,,,puzzle,,,,,544,25,383,,,blitz,1740.0,1604.0,1682.0,,5440,275,5311
Axtlas,buithaitinhlx,1748,1039,1-0,Blackmar-Diemer Gambit: Gedult Gambit,D00,https://lichess.org/7iSrYpFY,30+0,Normal,,,bullet,,,,,1601,99,1930,,,puzzle,,,,,79,21,245
checkcheckallnight,trip,1332,1331,1-0,Scandinavian Defense,B01,https://lichess.org/453jl0Z3,1200+0,Normal,,,rapid,,,1006.0,,4945,299,5071,,,rapid,,,1452.0,,1687,121,1851
nunis26,Navarrete,925,1495,0-1,Nimzowitsch Defense: Franco-Nimzowitsch Variation,B00,https://lichess.org/lvixMehj,600+0,Normal,,,blitz,,,,,159,32,248,,,unknown,,,,,0,0,0
gpwood,LifeW12,1387,1331,0-1,"Sicilian Defense: Sozin Attack, Flank Variation",B87,https://lichess.org/bZvrzndP,300+0,Time forfeit,,,unknown,,,,,0,0,0,,,unknown,,,,,0,0,0
azzahr,renax1991,1261,1468,0-1,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/QCfUwOxB,60+0,Time forfeit,,,bullet,1860.0,1745.0,1625.0,,26895,1590,32966,,,puzzle,,,,,1574,116,1985
pb_captin,kuhreem,1039,1261,1-0,Sicilian Defense,B20,https://lichess.org/DTZPKCxH,60+3,Normal,,,unknown,,,,,0,0,0,,,bullet,2239.0,,,,38460,1857,35695
Crixin,paradoxlost,1128,1279,0-1,Horwitz Defense,A40,https://lichess.org/36wJGqDz,600+0,Normal,,,rapid,,,,,189,25,370,,,rapid,,,1242.0,,4943,187,8119
mark1217,radz1988,1394,1363,1-0,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/HkbXP38S,900+1,Time forfeit,,,blitz,,1495.0,,,12802,475,13186,,,rapid,,,,,0,0,2
Tibicsoki,Repercussion,1245,1500,1-0,Duras Gambit,B00,https://lichess.org/ua5qGsgU,1200+0,Normal,,,rapid,,,,1349.0,2489,223,2572,,,puzzle,,,,,83,1,21
Hsmorales,ipanemo,1368,1150,0-1,Blackmar-Diemer Gambit,D00,https://lichess.org/VhagNOW9,60+2,Normal,,,blitz,,1730.0,,,4377,359,4461,,,bullet,1446.0,,,,45387,2452,49860
YOANNAS,rvboxer,1335,1296,0-1,Elephant Gambit,C40,https://lichess.org/XVq7sb1L,300+0,Normal,,,unknown,,,,,0,0,0,,,bullet,1119.0,1336.0,,,15139,1199,19025
spida,drunknord,1424,1252,1-0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",C57,https://lichess.org/WexUE19A,180+2,Normal,,,blitz,,,,,1740,93,1559,,,puzzle,,,,,1079,82,1476
Nitin123,SteadyAntelope,1389,1272,1-0,Queen's Pawn Game: Levitsky Attack,D00,https://lichess.org/iCIoiiEi,30+0,Time forfeit,,,puzzle,,,,,405,42,930,,,ultraBullet,2529.0,2294.0,,,11107,506,8564
HussTheGame,darkingz527,1426,1152,1-0,King's Pawn Game: Napoleon Attack,C20,https://lichess.org/4gNjopVs,300+0,Time forfeit,,,blitz,,,,,286,14,353,,,blitz,,,,,583,47,865
lavin,Zepled99,1426,1369,0-1,Old Benoni Defense,A43,https://lichess.org/RxvytrZ4,1800+10,Normal,,,rapid,,,,,1314,127,1526,,,puzzle,,,,,72,6,76
Winteriscoming12,Foklara,1262,1218,0-1,Pirc Defense #4,B07,https://lichess.org/kjZK7Fw2,900+10,Normal,,,rapid,,,,,24,1,92,,,rapid,,,,,46,3,137
Sasho21,parker5818,1369,924,1-0,Nimzowitsch Defense: Kennedy Variation,B00,https://lichess.org/0fSy7dLM,300+8,Normal,,,unknown,,,,,0,0,0,,,puzzle,,,,,23,1,159
Enderer,haroldF,1392,1361,1-0,Three Knights Opening,C46,https://lichess.org/kIRvi1kv,120+0,Time forfeit,,,bullet,,,,,1373,115,2275,,,bullet,,1781.0,,,11080,512,11797
fenix395,emdoice,1141,1462,0-1,Italian Game: Anti-Fried Liver Defense,C55,https://lichess.org/FsluxmUQ,240+2,Normal,,,blitz,,836.0,,,783,60,1043,,,unknown,,,,,0,0,0
DGelinas,Leo5,1225,1381,0-1,Sicilian Defense: Smith-Morra Gambit #2,B21,https://lichess.org/mqP7oyS5,360+0,Normal,,,blitz,,,,,730,57,1388,,,blitz,,1474.0,,,13104,1008,13109
Dr_3z,mojtaba68,1161,1572,0-1,Nimzo-Larsen Attack: Symmetrical Variation,A01,https://lichess.org/t7cPdD2i,900+0,Normal,,,puzzle,,,,,597,80,728,,,puzzle,,,,,412,19,578
Le-brunch,medve1,1048,1387,1-0,French Defense: Knight Variation,C00,https://lichess.org/uBpI0qyE,180+0,Normal,,,blitz,,,,,2021,116,3996,,,bullet,1149.0,1009.0,,,10844,633,14148
ICheckmateYouThenLOL,balak,1232,1286,0-1,Horwitz Defense,A40,https://lichess.org/tG4pIyDs,180+3,Time forfeit,,,blitz,,,,,241,22,340,,,antichess,1188.0,1134.0,,,5107,339,7502
PawnStormMistro,window_lick3r,1138,1068,0-1,Caro-Kann Defense: Labahn Attack,B10,https://lichess.org/Touo9aUH,600+0,Normal,,,puzzle,,,1319.0,1518.0,1233,94,993,,,blitz,,,,,3243,336,4452
TheMysteriousBlunder,yalp,1485,1274,1-0,French Defense: Advance Variation #2,C02,https://lichess.org/2kJya20D,120+0,Normal,,,unknown,,,,,0,0,0,,,bullet,,,,,6202,433,15182
fede070903,alexvester,1110,1056,1-0,Hungarian Opening,A00,https://lichess.org/ajZI2EPu,600+0,Time forfeit,,,unknown,,,,,0,0,0,,,puzzle,,,,,105,19,287
gohappy,ecortizas,1362,1226,1-0,Queen's Pawn Game #2,D00,https://lichess.org/PYDo3zvq,1200+0,Normal,,,rapid,,,,,38,4,63,,,rapid,675.0,914.0,1069.0,1210.0,2810,417,8056
lisamika,LucidSleeper,1346,1434,1-0,Caro-Kann Defense: Panov Attack #2,B13,https://lichess.org/ydzbdznL,480+0,Time forfeit,,,puzzle,,,,,975,108,1626,,,blitz,,,,,1893,234,2103
gmiatello,DEBEDE22,1408,1380,1-0,Italian Game,C50,https://lichess.org/BjYKtF5A,1200+8,Time forfeit,,,classical,,,,,471,9,291,,,blitz,,1256.0,,,4846,189,5601
adamantane,radzman5125,1339,1421,0-1,Italian Game: Anti-Fried Liver Defense,C55,https://lichess.org/JHj0RpiU,900+1,Normal,,,rapid,,,,,1711,190,3121,,,rapid,,,,,20,4,30
Rusinas,Evgen_86,1090,1322,0-1,King's Pawn Game: Tortoise Opening,C20,https://lichess.org/M5eQvmdi,1200+10,Time forfeit,,,puzzle,,,,,324,19,486,,,bullet,,,,,4903,325,7399
MartinBD,JBGIII,1181,1473,0-1,Italian Game,C50,https://lichess.org/KDzn8Atq,300+3,Normal,,,puzzle,,,,,107,17,240,,,puzzle,,,,,1575,176,1249
hoainhan,ottomannobilty,1392,1321,1-0,French Defense: Normal Variation,C00,https://lichess.org/NmSt5EWc,600+0,Normal,,,rapid,,,,,295,10,422,,,rapid,,,,,72,13,154
fishlar,beehavior,1445,1326,1-0,"Italian Game: Two Knights Defense, Knight Attack",C57,https://lichess.org/2OPCZFSv,600+5,Time forfeit,,,rapid,,,,,2676,217,1943,,,rapid,,,,,226,23,345
nicoscav,marshmallowmadness,1081,1148,1-0,Sicilian Defense: Hyperaccelerated Pterodactyl,B27,https://lichess.org/8FoRJ0qp,900+5,Normal,,,rapid,,,,,401,60,694,,,puzzle,,,,,1846,52,964
Hans769,big_mu,1410,1269,0-1,Scandinavian Defense: Icelandic-Palme Gambit,B01,https://lichess.org/9nfzCvai,1200+0,Normal,,,unknown,,,,,0,0,0,,,rapid,,1412.0,,,1269,84,1400
sarankunnath,Meh_r,1302,1281,1-0,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/8CkOUUGY,420+1,Normal,,,blitz,,1446.0,1690.0,1691.0,40229,2160,22528,,,antichess,1417.0,1527.0,,,7826,483,5524
FranciscoJavier,ElleLawliet,1289,1298,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/E9GvN562,600+5,Normal,,,rapid,,,,,734,43,837,,,unknown,,,,,0,0,0
joshuac9225,docjas,1500,1121,1-0,Petrov's Defense #2,C42,https://lichess.org/55FZg0xM,180+0,Time forfeit,,,puzzle,,,,,90,5,100,,,blitz,,,,,11,2,49
Tassiv,vunhatnam2002,1354,1113,1/2-1/2,French Defense: Queen's Knight,C00,https://lichess.org/O3iiibwR,720+10,Normal,,,unknown,,,,,0,0,0,,,puzzle,,,,,254,22,590
Greengrocer,Julio3159,1692,1093,1-0,French Defense: Normal Variation,C00,https://lichess.org/ued3Asfb,300+0,Normal,,,bullet,2601.0,2355.0,,,19962,2252,15845,,,rapid,,,,,37,4,167
neiker,edHARDCORE,1402,1321,0-1,Gunderam Defense,C40,https://lichess.org/Z2q6HxDL,600+30,Normal,,,rapid,,,,,106,16,268,,,rapid,1428.0,1274.0,1596.0,,2138,103,2515
schaaksmurf3,frailangel,1293,1439,0-1,Philidor Defense #3,C41,https://lichess.org/J7tL2aqN,900+0,Normal,,,rapid,,,,,684,61,1420,,,blitz,,,,,2211,286,2322
pollischa,JacquesAintabi,1423,1363,1-0,Italian Game: Anti-Fried Liver Defense,C55,https://lichess.org/NCyug5sz,180+10,Time forfeit,,,blitz,,,,,967,66,1105,,,blitz,,,,,2883,88,6115
tatttttt,ramongibarrar,1552,1137,1-0,"Ruy Lopez: Exchange Variation, Normal Variation",C69,https://lichess.org/268pCwKE,300+2,Normal,,,unknown,,,,,0,0,0,,,blitz,,1114.0,,,1843,121,2596
NglOmar233,oliro,1208,1182,0-1,Russian Game: Three Knights Game,C42,https://lichess.org/6N4cFRvk,900+5,Time forfeit,,,blitz,,,,,806,114,1034,,,puzzle,1476.0,1498.0,,,10229,629,10308
maylward,Gibby5150,1132,1073,1-0,Scotch Game,C45,https://lichess.org/cGIm7t9u,420+0,Normal,,,blitz,,,,,1509,99,2178,,,blitz,1139.0,1427.0,,,12171,474,11359
Kaoruko,daboforpres,1360,1353,0-1,Scotch Game,C44,https://lichess.org/QWQLDgR5,900+0,Normal,,,rapid,,,,,1857,63,2048,,,rapid,,1104.0,1315.0,,1038,96,1591
Crixio,darthvaderchessie,1390,1221,0-1,King's Knight Opening: Normal Variation,C44,https://lichess.org/KUrKwp2s,240+0,Normal,,,blitz,,,,,1682,206,3134,,,blitz,,,,,363,27,582
ferod,Domorolo,1463,1311,0-1,Bishop's Opening: Boi Variation,C20,https://lichess.org/GK9YUp3J,600+0,Normal,,,rapid,,,,,145,2,164,,,rapid,,,,,294,21,378
risk2Dupside,olgabuenosaires,1463,1310,1-0,Semi-Slav Defense: Main Line,D45,https://lichess.org/myWZe2bh,600+8,Normal,,,unknown,,,,,0,0,0,,,rapid,,,,,5488,534,7153
HeyJujube,Job19,1353,1293,1-0,Van't Kruijs Opening,A00,https://lichess.org/3wzcUAJ1,600+0,Normal,,,blitz,,1025.0,,,2404,246,2240,,,rapid,,,,,151,15,179
cocain3,vag4,1361,1269,0-1,Elephant Gambit,C40,https://lichess.org/GeikmE0M,1800+0,Normal,,,blitz,,,,,5739,391,5225,,,rapid,,,,,174,9,191
minouminou1965,Shirbabadi,1390,1171,1-0,French Defense: Knight Variation,C00,https://lichess.org/KapnYaIP,60+0,Time forfeit,,,puzzle,,,,,4407,151,1326,,,rapid,,,,,2169,216,1918
dr4ke,Halkmonzod,1178,1223,1-0,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/ndgXAtYX,180+5,Normal,,,blitz,,,,,3125,255,3418,,,puzzle,,,,,642,92,1768
